address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Dubai Intl convention & exhibition center",poi,115075,25.112506449786,55.204353667448,Dubai,"TechEd Middle East",4b8bb25bf964a52069a732e3,0,"Convention Center",http://tour-pedia.org/api/getPlaceDetails?id=115075,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115075
"Baniyas Road, Opposite Chamber of Commerce",poi,115078,25.261808057953,55.31571149826,Dubai,"Dubai Land Department دائرة الأراضي والأملاك",4b8ca291f964a520fdd832e3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115078,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115078
"Beirut - Airport Road",poi,115079,25.242522196752,55.381994247437,Dubai,"Airport Tunnel نفق المطار",4b8ca54ef964a5204fd932e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115079,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115079
"Red Line (18) Interchange with Green Line (20)",poi,115101,25.26643135774,55.314735174179,Dubai,"Union Metro Station | محطة الاتحاد",4b90f6f1f964a520849c33e3,0,Subway,http://tour-pedia.org/api/getPlaceDetails?id=115101,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115101
,poi,115114,25.137514684167,55.201148986816,Dubai,"Dubai - United Arab Emirates",4b926e32f964a52006f933e3,0,"General Travel",http://tour-pedia.org/api/getPlaceDetails?id=115114,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115114
,poi,115117,25.259685031853,55.323062412258,Dubai,"riggat al buteen road",4b93c0d6f964a520ef4f34e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115117,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115117
"DXB Airport",poi,115128,25.250751205371,55.355129241943,Dubai,"Terminal 1",4b94ff98f964a520f58a34e3,0,"Airport Terminal",http://tour-pedia.org/api/getPlaceDetails?id=115128,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115128
"Al Wasl Rd",poi,115135,25.150519155912,55.212249541172,Dubai,"Cooper Health Clinic",4b979bd0f964a520650b35e3,0,"Doctor's Office",http://tour-pedia.org/api/getPlaceDetails?id=115135,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115135
,poi,115136,25.100445332179,55.167846679688,Dubai,"Palladium @ DMC",4b97ac12f964a520d90e35e3,0,"Convention Center",http://tour-pedia.org/api/getPlaceDetails?id=115136,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115136
,poi,115140,25.23344097483,55.318045446405,Dubai,"California Chiropractic",4b988278f964a520324535e3,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=115140,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115140
"Town Centre",poi,115141,25.21528,55.250795,Dubai,"Emirates Travel Centre",4b989086f964a5201b4735e3,0,Plane,http://tour-pedia.org/api/getPlaceDetails?id=115141,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115141
"Al Manara",poi,115144,25.142776338638,55.213910787542,Dubai,"Street 8a",4b98ef81f964a520345735e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115144,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115144
"Jumeira 1, Villa 41",poi,115149,25.210493629479,55.248441696167,Dubai,"Dr Al Rustom's Medical & Day Care Surgery Centre",4b9a04e0f964a5204d9b35e3,0,"Doctor's Office",http://tour-pedia.org/api/getPlaceDetails?id=115149,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115149
"Dnata Travel Centre",poi,115177,25.176555,55.24584,Dubai,"Emirates Travel Centre @SZR",4b9de44ef964a520aac136e3,0,Plane,http://tour-pedia.org/api/getPlaceDetails?id=115177,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115177
"Dubai Media City",poi,115185,25.095451379038,55.152332782745,Dubai,"Al Sufouh Road",4b9fd977f964a5206e4437e3,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115185,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115185
,poi,115202,25.040597877012,55.237279518483,Dubai,"Motor City Car Park",4ba308d2f964a520dd2838e3,0,Parking,http://tour-pedia.org/api/getPlaceDetails?id=115202,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115202
"Dubai airport",poi,115203,25.248460876826,55.361187891538,Dubai,"Emirates Check-In",4ba33b37f964a520eb3038e3,0,"Airport Gate",http://tour-pedia.org/api/getPlaceDetails?id=115203,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115203
115228,"Airport Terminal 3","United Arab Emirates",poi,Dubai,25.244944,55.36052,http://tour-pedia.org/api/getPlaceDetails?id=115228,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115228
"Sheikh Zayed Road",poi,115234,25.122284193979,55.204882621765,Dubai,"Traffic Department - مكتب مرور البرشاء",4ba8bb85f964a52090ea39e3,0,"Police Station",http://tour-pedia.org/api/getPlaceDetails?id=115234,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115234
"Dubai International Airport",poi,115244,25.253832555829,55.362900636688,Dubai,"Star Alliance Lounge",4baa64f8f964a52010663ae3,0,"Airport Lounge",http://tour-pedia.org/api/getPlaceDetails?id=115244,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115244
"Sheikh Zayed Road, near the MOE",poi,115272,25.124032688572,55.206298828125,Dubai,"Notary Public الكاتب العدل",4baef75af964a52068e43be3,0,Courthouse,http://tour-pedia.org/api/getPlaceDetails?id=115272,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115272
115277,"Dubai Court","Dubai - United Arab Emirates",poi,Dubai,25.248223,55.321607,http://tour-pedia.org/api/getPlaceDetails?id=115277,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115277
,poi,115284,25.190231,55.26218,Dubai,"Abu Dhabi Investment Authority",4bb19437f964a520659a3ce3,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115284,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115284
,poi,115286,25.249091862882,55.27707695961,Dubai,"Mina Police Station Dubai",4bb1bc39f964a520e2a03ce3,0,"Police Station",http://tour-pedia.org/api/getPlaceDetails?id=115286,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115286
"Jumeirah Rd.",poi,115287,25.180872475655,55.224224179788,Dubai,"Dubai Medical Village",4bb20788f964a5202cb33ce3,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=115287,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115287
"Dubai International Airport مطار دبي الدولي",poi,115295,25.24705,55.361134,Dubai,"Terminal 3 مطار دبي الدولي - المبنى",4bb546c76edc76b0d48e2f1c,0,"Airport Terminal",http://tour-pedia.org/api/getPlaceDetails?id=115295,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115295
,poi,115303,25.223071647912,55.356174119078,Dubai,"Dubai London Clinic",4bb6f3f146d4a593defdc6c0,0,"Doctor's Office",http://tour-pedia.org/api/getPlaceDetails?id=115303,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115303
115315,"Emirates First Class Lounge","at Terminal 3",poi,Dubai,25.247529537251,55.362725257874,http://tour-pedia.org/api/getPlaceDetails?id=115315,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115315
Garhoud,poi,115331,25.235391,55.360975,Dubai,"Emirates Travel Agency",4bbc34112d9ea5934c63a0ce,0,Plane,http://tour-pedia.org/api/getPlaceDetails?id=115331,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115331
"Sheikh Zayed Rd.",poi,115341,25.208901686762,55.273590087891,Dubai,"Sheikh Zayed Road شارع الشيخ زايد",4bbdff5307809521293fdb91,0,Road,http://tour-pedia.org/api/getPlaceDetails?id=115341,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115341
"Al Jafiliya",poi,115345,25.234856053475,55.291232030449,Dubai,"Dubai Immigration",4bbef038ba9776b0975efec8,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115345,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115345
"Umm AlSheif",poi,115369,25.265445528627,55.312855974303,Dubai,"Russian Consulate",4bc2b7a04cdfc9b6f47e9621,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115369,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115369
"Dubai International Airport (DXB)",poi,115424,25.264123,55.3624,Dubai,"SQ493 DXB-SIN",4bc86d4c8b7c9c745a0f38cf,0,Plane,http://tour-pedia.org/api/getPlaceDetails?id=115424,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115424
,poi,115442,25.046438565108,55.243187441706,Dubai,"MediCentres MotorCity",4bc979a2cc8cd13ab3b9bbcf,0,"Medical Center",http://tour-pedia.org/api/getPlaceDetails?id=115442,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115442
,poi,115448,25.262014644538,55.374009987458,Dubai,"Dafza Headquarters",4bcaac84b6c49c74090c9191,0,Building,http://tour-pedia.org/api/getPlaceDetails?id=115448,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115448
"Al Mina Road, 2 buildings After Capitol Hotel (Ibn Roshd Pharmacy Building)",poi,115475,25.24088215084,55.274228453636,Dubai,"Medical Specialists Centre",4bcc7b94cc8cd13a72f4c0cf,0,"Doctor's Office",http://tour-pedia.org/api/getPlaceDetails?id=115475,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115475
,poi,115519,25.092201,55.146647,Dubai,"Arjaan Conference Centre",4bd28f92caff9521562dd3f0,0,"Meeting Room",http://tour-pedia.org/api/getPlaceDetails?id=115519,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115519
"Umm al sheif road",poi,115523,25.165469297131,55.2342798518,Dubai,"NMC hospital Jumeirah",4bd2d75db221c9b6cc58d8d0,0,Hospital,http://tour-pedia.org/api/getPlaceDetails?id=115523,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115523
"Dubai International Airport",poi,115527,25.248561264675,55.353332389699,Dubai,"Departure Gate (T1)",4bd2f9bf41b9ef3bb3f6fee5,0,"Airport Terminal",http://tour-pedia.org/api/getPlaceDetails?id=115527,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115527
"Jebel Ali",poi,115540,25.008099909349,55.085679911821,Dubai,"Immigration and Naturalization Authority",4bd50aee637ba593b7f2f570,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115540,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115540
,poi,115541,25.257610382856,55.310193858249,Dubai,"Royal Consulate General of Saudi Arabia",4bd526535631c9b607c2a330,0,"Government Building",http://tour-pedia.org/api/getPlaceDetails?id=115541,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115541
"Between Khalid bin AlWaleed road and the Creek",poi,115543,25.255952272384,55.306463241577,Dubai,"Egyptian Consulate القنصلية المصرية",4bd534ae29eb9c74c10a93e1,0,"Embassy / Consulate",http://tour-pedia.org/api/getPlaceDetails?id=115543,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115543
"Always on the move",poi,115551,25.04625879945,55.131282806396,Dubai,"The Convoy",4bd6569b7b1876b0307e8c86,0,"General Travel",http://tour-pedia.org/api/getPlaceDetails?id=115551,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=115551
